epsilon_x opt,epsilon_y opt,epsilon_z opt,exfoliation_en,structure,e_form,structure initial,jid,gap tbmbj,epsilon_x tbmbj,epsilon_y tbmbj,epsilon_z tbmbj,mpid,gap opt,composition
2.2525,2.2313,2.0969,85.35976667,"Full Formula (Ca1 Pb1 I4)
Reduced Formula: CaPbI4
abc   :   7.896808   4.512560  25.000264
angles:  90.000000  90.263528  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Ca    0.002336  0.872978  0.160455  [0.0, 0.0, 0.0]
  1  Pb    0.502336  0.372977  0.160455  [0.0, 0.0, 0.0]
  2  I     0.845371  0.372977  0.232302  [0.0, 0.0, 0.0]
  3  I     0.324392  0.872978  0.234671  [0.0, 0.0, 0.0]
  4  I     0.68028   0.872978  0.086238  [0.0, 0.0, 0.0]
  5  I     0.159301  0.372977  0.088607  [0.0, 0.0, 0.0]",-1.103,"Full Formula (Ca1 Pb1 I4)
Reduced Formula: CaPbI4
abc   :   8.022731   4.595039  25.000273
angles:  90.000000  90.267730  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ca    0.002336  0.872978  0.160455
  1  Pb    0.502336  0.372977  0.160455
  2  I     0.844419  0.372977  0.231622
  3  I     0.32581   0.872978  0.233539
  4  I     0.678862  0.872978  0.08737
  5  I     0.160253  0.372977  0.089287",JVASP-13525,,,,,mp-754540,3.052,Ca1 Pb1 I4
1.7987,1.7974,1.7353,77.131,"Full Formula (Y2 Br6)
Reduced Formula: YBr3
abc   :   7.090999   7.090999  23.315857
angles:  94.339275  94.339275 119.981306
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Br    0.957427  0.605683  0.140456  [0.0, 0.0, 0.0]
  1  Br    0.888597  0.888597  0.001826  [0.0, 0.0, 0.0]
  2  Br    0.253713  0.253713  0.140484  [0.0, 0.0, 0.0]
  3  Br    0.536626  0.184882  0.001853  [0.0, 0.0, 0.0]
  4  Br    0.605683  0.957427  0.140456  [0.0, 0.0, 0.0]
  5  Br    0.184882  0.536626  0.001853  [0.0, 0.0, 0.0]
  6  Y     0.23785   0.90446   0.071155  [0.0, 0.0, 0.0]
  7  Y     0.90446   0.23785   0.071155  [0.0, 0.0, 0.0]",-1.887,"Full Formula (Y2 Br6)
Reduced Formula: YBr3
abc   :   7.076226   7.076226  23.315857
angles:  94.348352  94.348352 119.647162
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Br    0.957248  0.606282  0.140523
  1  Br    0.891799  0.891799  0.000563
  2  Br    0.250511  0.250511  0.141747
  3  Br    0.536027  0.185061  0.001786
  4  Br    0.606282  0.957248  0.140523
  5  Br    0.185061  0.536027  0.001786
  6  Y     0.238039  0.904271  0.071155
  7  Y     0.904271  0.238039  0.071155",JVASP-60558,4.1728,1.6986,1.6905,1.6219,mp-754815,4.0673,Br6 Y2
2.2976,2.2976,2.0613,50.761,"Full Formula (Nd2 I2 O2)
Reduced Formula: NdIO
abc   :   4.075657   4.075657  29.629549
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Nd    0.678645  0.178645  0.202202  [0.0, 0.0, 0.0]
  1  Nd    0.178645  0.678645  0.122796  [0.0, 0.0, 0.0]
  2  I     0.178645  0.678645  0.266179  [0.0, 0.0, 0.0]
  3  I     0.678645  0.178645  0.058819  [0.0, 0.0, 0.0]
  4  O     0.678645  0.678645  0.162499  [0.0, 0.0, 0.0]
  5  O     0.178645  0.178645  0.162499  [0.0, 0.0, 0.0]",-2.793,"Full Formula (Nd2 I2 O2)
Reduced Formula: NdIO
abc   :   4.085007   4.085007  29.629549
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Nd    0.678645  0.178645  0.201894
  1  Nd    0.178645  0.678645  0.123104
  2  I     0.178645  0.678645  0.267423
  3  I     0.678645  0.178645  0.057575
  4  O     0.678645  0.678645  0.162499
  5  O     0.178645  0.178645  0.162499",JVASP-13527,,,,,mp-755336,3.8469,Nd2 I2 O2
2.0476,2.0476,2.0278,37.426,"Full Formula (Ho2 Br2 O2)
Reduced Formula: HoBrO
abc   :   3.809924   3.809924  30.079382
angles:  90.000000  90.000000 120.000004
pbc   :       True       True       True
Sites (6)
  #  SP            a         b         c  velocities
---  ----  ---------  --------  --------  ---------------
  0  Ho    -0         0         0.119483  [0.0, 0.0, 0.0]
  1  Ho     0.666667  0.333333  0.21385   [0.0, 0.0, 0.0]
  2  Br     0.333333  0.666667  0.055753  [0.0, 0.0, 0.0]
  3  Br     0.333333  0.666667  0.27758   [0.0, 0.0, 0.0]
  4  O      0.666667  0.333333  0.138403  [0.0, 0.0, 0.0]
  5  O     -0         0         0.19493   [0.0, 0.0, 0.0]",-3.085,"Full Formula (Ho2 Br2 O2)
Reduced Formula: HoBrO
abc   :   3.828528   3.828528  30.079382
angles:  90.000000  90.000000 120.000004
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ho    0         0         0.119768
  1  Ho    0.666667  0.333333  0.213565
  2  Br    0.333333  0.666667  0.055615
  3  Br    0.333333  0.666667  0.277718
  4  O     0.666667  0.333333  0.13834
  5  O     0         0         0.194993",JVASP-13528,,,,,mp-755565,3.8191,Ho2 Br2 O2
1.7543,1.6606,1.6774,40.421,"Full Formula (Er2 Cl2 O2)
Reduced Formula: ErClO
abc   :   3.715987   4.128956  29.238272
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Er    0.235319  0.612908  0.19387   [0.0, 0.0, 0.0]
  1  Er    0.735319  0.112908  0.122095  [0.0, 0.0, 0.0]
  2  Cl    0.735319  0.612908  0.258448  [0.0, 0.0, 0.0]
  3  Cl    0.235319  0.112908  0.057517  [0.0, 0.0, 0.0]
  4  O     0.235319  0.112908  0.167155  [0.0, 0.0, 0.0]
  5  O     0.735319  0.612908  0.14881   [0.0, 0.0, 0.0]",-3.209,"Full Formula (Er2 Cl2 O2)
Reduced Formula: ErClO
abc   :   3.739224   4.150510  29.238272
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Er    0.235319  0.612908  0.19378
  1  Er    0.735319  0.112908  0.122185
  2  Cl    0.735319  0.612908  0.258494
  3  Cl    0.235319  0.112908  0.057471
  4  O     0.235319  0.112908  0.166984
  5  O     0.735319  0.612908  0.148981",JVASP-13529,,,,,mp-755689,5.3471,Er2 Cl2 O2
10.4576,11.6978,2.5999,57.6051,"Full Formula (Cr1 P2 S7)
Reduced Formula: CrP2S7
abc   :   6.319153   6.319153  23.548183
angles:  94.899066  94.899066  94.791555
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Cr    0.491835  0.508165  0.075339  [0.0, 0.0, 0.0]
  1  P     0.655934  0.955292  0.053888  [0.0, 0.0, 0.0]
  2  P     0.044708  0.344066  0.09679   [0.0, 0.0, 0.0]
  3  S     0.532148  0.194476  0.013561  [0.0, 0.0, 0.0]
  4  S     0.805524  0.467852  0.137116  [0.0, 0.0, 0.0]
  5  S     0.140308  0.493533  0.028531  [0.0, 0.0, 0.0]
  6  S     0.31818   0.368728  0.150605  [0.0, 0.0, 0.0]
  7  S     0.631272  0.68182   7.3e-05   [0.0, 0.0, 0.0]
  8  S     0.506467  0.859692  0.122147  [0.0, 0.0, 0.0]
  9  S     0.993118  0.006882  0.075339  [0.0, 0.0, 0.0]",-0.236,"Full Formula (Cr1 P2 S7)
Reduced Formula: CrP2S7
abc   :   6.308799   6.308799  23.548183
angles:  94.907126  94.907126  94.806498
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Cr    0.491882  0.508118  0.075339
  1  P     0.655732  0.954175  0.05408
  2  P     0.045825  0.344268  0.096598
  3  S     0.528474  0.191964  0.013845
  4  S     0.808036  0.471526  0.136832
  5  S     0.13998   0.492811  0.02801
  6  S     0.318615  0.370021  0.150916
  7  S     0.629979  0.681385  0.999762
  8  S     0.507189  0.86002   0.122668
  9  S     0.993783  0.006217  0.075339",JVASP-60578,0.0256,18.4082,21.601,2.549,mp-768680,0.0419,Cr1 P2 S7
6.2952,15.1685,1.7209,70.15683333,"Full Formula (Co1 Te1 O4)
Reduced Formula: CoTeO4
abc   :   3.092327   5.418886  21.923746
angles:  94.056767  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP      a         b         c  velocities
---  ----  ---  --------  --------  ---------------
  0  Co    0.5  0.549991  0.049991  [0.0, 0.0, 0.0]
  1  Te    0    0.049991  0.049991  [0.0, 0.0, 0.0]
  2  O     0    0.744911  0.091181  [0.0, 0.0, 0.0]
  3  O     0    0.355071  0.008801  [0.0, 0.0, 0.0]
  4  O     0.5  0.210902  0.099362  [0.0, 0.0, 0.0]
  5  O     0.5  0.88908   0.00062   [0.0, 0.0, 0.0]",-0.772,"Full Formula (Co1 Te1 O4)
Reduced Formula: CoTeO4
abc   :   3.092904   5.474126  21.923746
angles:  94.015762  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP      a         b         c
---  ----  ---  --------  --------
  0  Co    0.5  0.549991  0.049991
  1  Te    0    0.049991  0.049991
  2  O     0    0.751906  0.090744
  3  O     0    0.348076  0.009238
  4  O     0.5  0.201866  0.099982
  5  O     0.5  0.898116  0",JVASP-60582,0.0282,10.2452,55.5577,1.9606,mp-771247,0.0076,Co1 Te1 O4
1.9433,1.9433,1.5808,571.6572,"Full Formula (Sb1)
Reduced Formula: Sb
abc   :   3.152406   3.152407  23.494676
angles:  90.000000  90.000000 120.000003
pbc   :       True       True       True
Sites (1)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Sb    0.333333  0.666667  0.058467  [0.0, 0.0, 0.0]",0.875,"Full Formula (Sb1)
Reduced Formula: Sb
abc   :   3.394109   3.394110  23.494676
angles:  90.000000  90.000000 120.000004
pbc   :       True       True       True
Sites (1)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Sb    0.333333  0.666667  0.058467",JVASP-13539,,,,,mp-80,0.0202,Sb1
50.1586,50.1586,13.0956,60.31066667,"Full Formula (Ta4 Se2)
Reduced Formula: Ta2Se
abc   :   3.387285   3.387285  28.337985
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Ta    0.518363  0.018363  0.209311  [0.0, 0.0, 0.0]
  1  Ta    0.018363  0.518363  0.266651  [0.0, 0.0, 0.0]
  2  Ta    0.518363  0.018363  0.09816   [0.0, 0.0, 0.0]
  3  Ta    0.018363  0.518363  0.155499  [0.0, 0.0, 0.0]
  4  Se    0.518363  0.018363  0.311003  [0.0, 0.0, 0.0]
  5  Se    0.018363  0.518363  0.053807  [0.0, 0.0, 0.0]",-0.385,"Full Formula (Ta4 Se2)
Reduced Formula: Ta2Se
abc   :   3.404318   3.404318  28.337985
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ta    0.518363  0.018363  0.209086
  1  Ta    0.018363  0.518363  0.266473
  2  Ta    0.518363  0.018363  0.098338
  3  Ta    0.018363  0.518363  0.155724
  4  Se    0.518363  0.018363  0.309823
  5  Se    0.018363  0.518363  0.054987",JVASP-13541,,,,,mp-8732,0.0022,Ta4 Se2
2.8042,3.1111,2.0849,132.964,"Full Formula (As4 Se6)
Reduced Formula: As2Se3
abc   :   4.378285  12.870869  26.967600
angles:  90.000000  90.000000 109.885152
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  As    0.374218  0.761299  0.127213  [0.0, 0.0, 0.0]
  1  As    0.374218  0.261299  0.076134  [0.0, 0.0, 0.0]
  2  As    0.095598  0.982671  0.076115  [0.0, 0.0, 0.0]
  3  As    0.095598  0.482671  0.127232  [0.0, 0.0, 0.0]
  4  Se    0.874702  0.906403  0.155663  [0.0, 0.0, 0.0]
  5  Se    0.874702  0.406403  0.047685  [0.0, 0.0, 0.0]
  6  Se    0.305905  0.83756   0.047664  [0.0, 0.0, 0.0]
  7  Se    0.305905  0.33756   0.155684  [0.0, 0.0, 0.0]
  8  Se    0.566978  0.621967  0.086971  [0.0, 0.0, 0.0]
  9  Se    0.566978  0.121967  0.116377  [0.0, 0.0, 0.0]",0.027,"Full Formula (As4 Se6)
Reduced Formula: As2Se3
abc   :   4.505000  12.915400  26.967600
angles:  90.000000  90.000000 110.014603
pbc   :       True       True       True
Sites (10)
  #  SP         a       b         c
---  ----  ------  ------  --------
  0  As    0.3777  0.7631  0.124001
  1  As    0.3777  0.2631  0.079346
  2  As    0.1021  0.9834  0.074059
  3  As    0.1021  0.4834  0.129288
  4  Se    0.8732  0.9024  0.151982
  5  Se    0.8732  0.4024  0.051366
  6  Se    0.3131  0.8415  0.044574
  7  Se    0.3131  0.3415  0.158774
  8  Se    0.5513  0.6195  0.086179
  9  Se    0.5513  0.1195  0.117169",JVASP-13544,,,,,mp-909,1.3176,As4 Se6
21.4301,21.4295,7.5446,57.5245,"Full Formula (Y2 Te6)
Reduced Formula: YTe3
abc   :   4.349902   4.349932  30.967817
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b         c  velocities
---  ----  ----  ----  --------  ---------------
  0  Y      0    0.75  0.143176  [0.0, 0.0, 0.0]
  1  Y      0.5  0.25  0.276095  [0.0, 0.0, 0.0]
  2  Te    -0    0.25  0.062168  [0.0, 0.0, 0.0]
  3  Te     0.5  0.75  0.062158  [0.0, 0.0, 0.0]
  4  Te     0.5  0.25  0.172822  [0.0, 0.0, 0.0]
  5  Te    -0    0.75  0.246449  [0.0, 0.0, 0.0]
  6  Te    -0    0.25  0.357113  [0.0, 0.0, 0.0]
  7  Te     0.5  0.75  0.357103  [0.0, 0.0, 0.0]",-0.905,"Full Formula (Y2 Te6)
Reduced Formula: YTe3
abc   :   4.330998   4.335250  30.967817
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b         c
---  ----  ---  ----  --------
  0  Y     0    0.75  0.142119
  1  Y     0.5  0.25  0.277152
  2  Te    0    0.25  0.060827
  3  Te    0.5  0.75  0.060866
  4  Te    0.5  0.25  0.172811
  5  Te    0    0.75  0.24646
  6  Te    0    0.25  0.358405
  7  Te    0.5  0.75  0.358444",JVASP-13545,,,,,mp-945077,0.0228,Y2 Te6
20.7942,20.7942,1.8304,76.94366667,"Full Formula (V1 Br2)
Reduced Formula: VBr2
abc   :   3.803995   3.803995  26.721105
angles:  90.000000  90.000000 119.999999
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  V     0.378472  0.009111  0.125764  [0.0, 0.0, 0.0]
  1  Br    0.711805  0.675779  0.180464  [0.0, 0.0, 0.0]
  2  Br    0.045139  0.342445  0.071063  [0.0, 0.0, 0.0]",-0.788,"Full Formula (V1 Br2)
Reduced Formula: VBr2
abc   :   3.845394   3.845394  26.721105
angles:  90.000000  90.000000 120.000000
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  V     0.378472  0.009111  0.125764
  1  Br    0.711805  0.675779  0.180086
  2  Br    0.045139  0.342445  0.071441",JVASP-13546,,,,,mp-971787,0.6285,V1 Br2
41.8338,41.8338,1.6394,582.88435,"Full Formula (Si1 Sb3)
Reduced Formula: SiSb3
abc   :   6.107733   6.107733  21.562229
angles:  90.000000  90.000000 119.999999
pbc   :       True       True       True
Sites (4)
  #  SP           a         b        c  velocities
---  ----  --------  --------  -------  ---------------
  0  Si    0.333333  0.666667  0.06449  [0.0, 0.0, 0.0]
  1  Sb    0.333335  0.166668  0.06449  [0.0, 0.0, 0.0]
  2  Sb    0.833332  0.666665  0.06449  [0.0, 0.0, 0.0]
  3  Sb    0.833332  0.166668  0.06449  [0.0, 0.0, 0.0]",1.068,"Full Formula (Si1 Sb3)
Reduced Formula: SiSb3
abc   :   6.449695   6.449694  21.562229
angles:  90.000000  90.000000 119.999999
pbc   :       True       True       True
Sites (4)
  #  SP           a         b        c
---  ----  --------  --------  -------
  0  Si    0.333333  0.666667  0.06449
  1  Sb    0.349258  0.174629  0.06449
  2  Sb    0.825371  0.650742  0.06449
  3  Sb    0.825371  0.174629  0.06449",JVASP-13547,,,,,mp-972794,0.0102,Si1 Sb3
4.5899,4.2193,3.3406,78.52966667,"Full Formula (Si4 As8)
Reduced Formula: SiAs2
abc   :   3.690432  10.364024  26.206003
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (12)
  #  SP      a         b         c  velocities
---  ----  ---  --------  --------  ---------------
  0  As    0.5  0.891144  0.19387   [0.0, 0.0, 0.0]
  1  As    0.5  0.94779   0.036043  [0.0, 0.0, 0.0]
  2  As    0    0.656289  0.088976  [0.0, 0.0, 0.0]
  3  As    0    0.76146   0.234042  [0.0, 0.0, 0.0]
  4  As    0    0.26146   0.002774  [0.0, 0.0, 0.0]
  5  As    0    0.156289  0.147841  [0.0, 0.0, 0.0]
  6  As    0.5  0.44779   0.200773  [0.0, 0.0, 0.0]
  7  As    0.5  0.391144  0.042946  [0.0, 0.0, 0.0]
  8  Si    0.5  0.799206  0.106859  [0.0, 0.0, 0.0]
  9  Si    0    0.082011  0.061242  [0.0, 0.0, 0.0]
 10  Si    0    0.582011  0.175574  [0.0, 0.0, 0.0]
 11  Si    0.5  0.299206  0.129957  [0.0, 0.0, 0.0]",0.026,"Full Formula (Si4 As8)
Reduced Formula: SiAs2
abc   :   3.691729  10.355348  26.206003
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (12)
  #  SP      a         b         c
---  ----  ---  --------  --------
  0  As    0.5  0.891418  0.194039
  1  As    0.5  0.947408  0.035962
  2  As    0    0.656184  0.089225
  3  As    0    0.761648  0.234263
  4  As    0    0.261648  0.002553
  5  As    0    0.156184  0.147592
  6  As    0.5  0.447408  0.200854
  7  As    0.5  0.391418  0.042777
  8  Si    0.5  0.799322  0.106999
  9  Si    0    0.08192   0.060988
 10  Si    0    0.58192   0.175828
 11  Si    0.5  0.299322  0.129817",JVASP-60612,,,,,mp-978553,1.4016,As8 Si4
18.2885,18.2885,1.5135,493.944575,"Full Formula (Si1 As3)
Reduced Formula: SiAs3
abc   :   5.475485   5.475485  24.170389
angles:  90.000000  90.000000 120.000002
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Si    0.333333  0.666667  0.053479  [0.0, 0.0, 0.0]
  1  As    0.833323  0.166677  0.053479  [0.0, 0.0, 0.0]
  2  As    0.833323  0.666648  0.053479  [0.0, 0.0, 0.0]
  3  As    0.333352  0.166677  0.053479  [0.0, 0.0, 0.0]",1.054,"Full Formula (Si1 As3)
Reduced Formula: SiAs3
abc   :   5.948071   5.948072  24.170389
angles:  90.000000  90.000000 120.000002
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Si    0.333333  0.666667  0.053479
  1  As    0.812906  0.187094  0.053479
  2  As    0.812906  0.625813  0.053479
  3  As    0.374187  0.187094  0.053479",JVASP-13550,,,,,mp-978567,0.0146,Si1 As3
32.8228,32.8228,3.5178,102.6578333,"Full Formula (W1 O2)
Reduced Formula: WO2
abc   :   2.979627   2.979627  31.039334
angles:  90.000000  90.000000 119.999991
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  W     0.666667  0.333333  0.266742  [0.0, 0.0, 0.0]
  1  O     0.666667  0.333333  0.208801  [0.0, 0.0, 0.0]
  2  O     0.666667  0.333333  0.324684  [0.0, 0.0, 0.0]",-0.214,"Full Formula (W1 O2)
Reduced Formula: WO2
abc   :   3.108802   3.108802  31.039334
angles:  90.000000  90.000000 119.999991
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  W     0.666667  0.333333  0.266742
  1  O     0.666667  0.333333  0.208624
  2  O     0.666667  0.333333  0.324861",JVASP-783,,,,,mvc-11221,0.0226,W1 O2
,,,64.139,"Full Formula (Ti1 S2)
Reduced Formula: TiS2
abc   :   3.409117   3.409118  24.557672
angles:  90.000000  90.000000 120.000008
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Ti    0.666667  0.333333  0.292613  [0.0, 0.0, 0.0]
  1  S     0.333333  0.666667  0.234748  [0.0, 0.0, 0.0]
  2  S     0         0         0.350478  [0.0, 0.0, 0.0]",-1.331,"Full Formula (Ti1 S2)
Reduced Formula: TiS2
abc   :   3.427059   3.427059  24.557672
angles:  90.000000  90.000000 120.000009
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ti    0.666667  0.333333  0.292613
  1  S     0.333333  0.666667  0.234933
  2  S     0         0         0.350293",JVASP-7060,,,,,mvc-11238,,Ti1 S2
4.4588,4.4588,2.9468,88.01833333,"Full Formula (Ti1 O2)
Reduced Formula: TiO2
abc   :   3.422030   3.422030  30.952301
angles:  90.000000  90.000000 120.000005
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Ti    0.333333  0.666667  0.088461  [0.0, 0.0, 0.0]
  1  O     0.333333  0.666667  0.032958  [0.0, 0.0, 0.0]
  2  O     0.333333  0.666667  0.143964  [0.0, 0.0, 0.0]",-0.33,"Full Formula (Ti1 O2)
Reduced Formula: TiO2
abc   :   3.445506   3.445506  30.952301
angles:  90.000000  90.000000 120.000005
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ti    0.333333  0.666667  0.088461
  1  O     0.333333  0.666667  0.033122
  2  O     0.333333  0.666667  0.1438",JVASP-765,,,,,mvc-13391,0.1599,Ti1 O2
1.4844,1.4844,1.3283,76.452,"Full Formula (Sn1 O2)
Reduced Formula: SnO2
abc   :   3.229795   3.229735  32.568010
angles:  90.122393  89.941901 119.999585
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Sn    0.001976  0.991663  0.189376  [0.0, 0.0, 0.0]
  1  O     0.335334  0.65901   0.220262  [0.0, 0.0, 0.0]
  2  O     0.66862   0.324313  0.158453  [0.0, 0.0, 0.0]",-1.515,"Full Formula (Sn1 O2)
Reduced Formula: SnO2
abc   :   3.230081   3.230087  32.568010
angles:  90.122407  89.941900 119.996427
pbc   :       True       True       True
Sites (3)
  #  SP           a          b         c
---  ----  --------  ---------  --------
  0  Sn    0.00196   -0.008331  0.189291
  1  O     0.335337   0.658937  0.220538
  2  O     0.668633   0.32438   0.158261",JVASP-750,,,,,mvc-6946,1.2173,Sn1 O2
1.6624,1.6624,1.5547,75.81966667,"Full Formula (Ca2 Cl2 F2)
Reduced Formula: CaClF
abc   :   3.743669   3.743669  24.922670
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP       a     b          c  velocities
---  ----  ----  ----  ---------  ---------------
  0  Ca     0.5  -0     0.043368  [0.0, 0.0, 0.0]
  1  Ca    -0     0.5   0.15415   [0.0, 0.0, 0.0]
  2  Cl     0     0.5  -0.005941  [0.0, 0.0, 0.0]
  3  Cl     0.5  -0     0.203459  [0.0, 0.0, 0.0]
  4  F     -0    -0     0.098759  [0.0, 0.0, 0.0]
  5  F      0.5   0.5   0.098759  [0.0, 0.0, 0.0]",-3.316,"Full Formula (Ca2 Cl2 F2)
Reduced Formula: CaClF
abc   :   3.914462   3.914462  24.922670
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP      a    b         c
---  ----  ---  ---  --------
  0  Ca    0.5  0    0.04476
  1  Ca    0    0.5  0.152758
  2  Cl    0    0.5  0
  3  Cl    0.5  0    0.197518
  4  F     0    0    0.098759
  5  F     0.5  0.5  0.098759",JVASP-60289,6.2266,1.6098,1.6095,1.5086,mp-27546,2.1852,Ca2 Cl2 F2
2.4576,1.6944,3.7779,847.98556,"Full Formula (K2 Pd1 O2)
Reduced Formula: K2PdO2
abc   :   3.344465   7.943378  25.646091
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP       a         b         c  velocities
---  ----  ----  --------  --------  ---------------
  0  K     -0    0.5       0.591513  [0.0, 0.0, 0.0]
  1  K     -0    0.5       0.408487  [0.0, 0.0, 0.0]
  2  Pd     0.5  0.5       0.5       [0.0, 0.0, 0.0]
  3  O     -0    0.345454  0.5       [0.0, 0.0, 0.0]
  4  O      0    0.654546  0.5       [0.0, 0.0, 0.0]",-0.394,"Full Formula (K2 Pd1 O2)
Reduced Formula: K2PdO2
abc   :   3.185727   6.143708  25.646091
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a         b         c
---  ----  ---  --------  --------
  0  K     0    0.5       0.610077
  1  K     0    0.5       0.389923
  2  Pd    0.5  0.5       0.5
  3  O     0    0.280374  0.5
  4  O     0    0.719626  0.5",JVASP-27996,,,,,mp-540584,0.0295,K2 Pd1 O2
1.9659,1.9659,1.8695,75.23144333,"Full Formula (Cd1 Br2)
Reduced Formula: CdBr2
abc   :   4.012554   4.012554  23.132788
angles:  90.000000  90.000000 119.999997
pbc   :       True       True       True
Sites (3)
  #  SP            a         b          c  velocities
---  ----  ---------  --------  ---------  ---------------
  0  Br     0.666666  0.333334   0.136268  [0.0, 0.0, 0.0]
  1  Br     0.333334  0.666666  -0.000842  [0.0, 0.0, 0.0]
  2  Cd    -0         0          0.067713  [0.0, 0.0, 0.0]",-0.809,"Full Formula (Cd1 Br2)
Reduced Formula: CdBr2
abc   :   4.077346   4.077346  23.132788
angles:  90.000000  90.000000 119.999997
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Br    0.666666  0.333334  0.135426
  1  Br    0.333334  0.666666  0
  2  Cd    0         0         0.067713",JVASP-60456,,,,,mp-568690,3.2479,Br2 Cd1
1.9637,1.9637,1.8673,75.79157833,"Full Formula (Cd1 Br2)
Reduced Formula: CdBr2
abc   :   4.012701   4.012701  23.150764
angles:  90.000000  90.000000 119.999997
pbc   :       True       True       True
Sites (3)
  #  SP            a          b          c  velocities
---  ----  ---------  ---------  ---------  ---------------
  0  Br     0.666666   0.333334  -0.00044   [0.0, 0.0, 0.0]
  1  Br     0.333334   0.666666   0.136538  [0.0, 0.0, 0.0]
  2  Cd    -0         -0          0.068049  [0.0, 0.0, 0.0]",-0.809,"Full Formula (Cd1 Br2)
Reduced Formula: CdBr2
abc   :   4.069740   4.069740  23.150764
angles:  90.000000  90.000000 119.999997
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Br    0.666666  0.333334  0
  1  Br    0.333334  0.666666  0.136098
  2  Cd    0         0         0.068049",JVASP-60457,3.8447,1.8111,1.8176,1.6944,mp-568722,3.2484,Br2 Cd1
