Current (A),Voltage (V),Charge Capacity (mAh),Discharge Capacity (mAh),Time (s),Temperature (C)
0.0,4.2931,0.0,0.0,3000.0,0
0.0,4.2931,0.0,0.0,3030.0,0
0.0,4.2931,0.0,0.0,3060.0,0
0.0,4.2931,0.0,0.0,3090.0,0
0.0,4.2931,0.0,0.0,3120.0,0
0.0,4.2931,0.0,0.0,3150.0,0
0.0,4.2931,0.0,0.0,3180.0,0
0.0,4.2931,0.0,0.0,3210.0,0
0.0,4.2931,0.0,0.0,3240.0,0
0.0,4.2931,0.0,0.0,3270.0,0
0.0,4.2931,0.0,0.0,3300.0,0
0.0,4.2931,0.0,0.0,3330.0,0
0.0,4.2931,0.0,0.0,3360.0,0
0.0,4.2931,0.0,0.0,3390.0,0
0.0,4.2931,0.0,0.0,3420.0,0
0.0,4.2931,0.0,0.0,3450.0,0
0.0,4.2931,0.0,0.0,3480.0,0
0.0,4.2931,0.0,0.0,3510.0,0
0.0,4.2931,0.0,0.0,3540.0,0
0.0,4.2931,0.0,0.0,3570.0,0
0.0,4.2931,0.0,0.0,3600.0,0
0.0,4.2931,0.0,0.0,3630.0,0
0.0,4.2931,0.0,0.0,3660.0,0
0.0,4.2931,0.0,0.0,3690.0,0
0.0,4.2931,0.0,0.0,3720.0,0
0.0,4.2931,0.0,0.0,3750.0,0
0.0,4.2931,0.0,0.0,3780.0,0
0.0,4.2931,0.0,0.0,3810.0,0
0.0,4.2931,0.0,0.0,3840.0,0
0.0,4.2931,0.0,0.0,3870.0,0
0.0,4.2931,0.0,0.0,3900.0,0
0.0,4.2931,0.0,0.0,3930.0,0
0.0,4.2931,0.0,0.0,3960.0,0
0.0,4.2931,0.0,0.0,3990.0,0
0.0,4.2931,0.0,0.0,4020.0,0
0.0,4.2931,0.0,0.0,4050.0,0
0.0,4.2931,0.0,0.0,4080.0,0
0.0,4.2931,0.0,0.0,4110.0,0
0.0,4.2934,0.0,0.0,4140.0,0
0.0,4.2931,0.0,0.0,4170.0,0
0.0,4.2931,0.0,0.0,4200.0,0
0.0,4.2931,0.0,0.0,4230.0,0
0.0,4.2931,0.0,0.0,4260.0,0
0.0,4.2931,0.0,0.0,4290.0,0
0.0,4.2934,0.0,0.0,4320.0,0
0.0,4.2931,0.0,0.0,4350.0,0
0.0,4.2931,0.0,0.0,4380.0,0
0.0,4.2931,0.0,0.0,4410.0,0
0.0,4.2931,0.0,0.0,4440.0,0
0.0,4.2934,0.0,0.0,4470.0,0
0.0,4.2931,0.0,0.0,4500.0,0
0.0,4.2934,0.0,0.0,4530.0,0
0.0,4.2934,0.0,0.0,4560.0,0
0.0,4.2931,0.0,0.0,4590.0,0
0.0,4.2934,0.0,0.0,4620.0,0
0.0,4.2934,0.0,0.0,4650.0,0
0.0,4.2931,0.0,0.0,4680.0,0
0.0,4.2934,0.0,0.0,4710.0,0
0.0,4.2931,0.0,0.0,4740.0,0
0.0,4.2931,0.0,0.0,4770.0,0
0.0,4.2934,0.0,0.0,4800.0,0
0.0,4.2934,0.0,0.0,4830.0,0
0.0,4.2934,0.0,0.0,4860.0,0
0.0,4.2931,0.0,0.0,4890.0,0
0.0,4.2934,0.0,0.0,4920.0,0
0.0,4.2931,0.0,0.0,4950.0,0
0.0,4.2934,0.0,0.0,4980.0,0
0.0,4.2931,0.0,0.0,5010.0,0
0.0,4.2934,0.0,0.0,5040.0,0
0.0,4.2931,0.0,0.0,5070.0,0
0.0,4.2931,0.0,0.0,5100.0,0
0.0,4.2931,0.0,0.0,5130.0,0
0.0,4.2934,0.0,0.0,5160.0,0
0.0,4.2934,0.0,0.0,5190.0,0
0.0,4.2934,0.0,0.0,5220.0,0
0.0,4.2934,0.0,0.0,5250.0,0
0.0,4.2931,0.0,0.0,5280.0,0
0.0,4.2931,0.0,0.0,5310.0,0
0.0,4.2931,0.0,0.0,5340.0,0
0.0,4.2934,0.0,0.0,5370.0,0
0.0,4.2931,0.0,0.0,5400.0,0
0.0,4.2931,0.0,0.0,5430.0,0
0.0,4.2934,0.0,0.0,5460.0,0
0.0,4.2934,0.0,0.0,5490.0,0
0.0,4.2931,0.0,0.0,5520.0,0
0.0,4.2931,0.0,0.0,5550.0,0
0.0,4.2934,0.0,0.0,5580.0,0
0.0,4.2934,0.0,0.0,5610.0,0
0.0,4.2934,0.0,0.0,5640.0,0
0.0,4.2934,0.0,0.0,5670.0,0
0.0,4.2934,0.0,0.0,5700.0,0
0.0,4.2931,0.0,0.0,5730.0,0
0.0,4.2931,0.0,0.0,5760.0,0
0.0,4.2931,0.0,0.0,5790.0,0
0.0,4.2931,0.0,0.0,5820.0,0
0.0,4.2934,0.0,0.0,5850.0,0
0.0,4.2931,0.0,0.0,5880.0,0
0.0,4.2934,0.0,0.0,5910.0,0
0.0,4.2934,0.0,0.0,5940.0,0
0.0,4.2934,0.0,0.0,5970.0,0
0.0,4.2931,0.0,0.0,6000.0,0
0.0,4.2931,0.0,0.0,6030.0,0
0.0,4.2934,0.0,0.0,6060.0,0
0.0,4.2934,0.0,0.0,6090.0,0
0.0,4.2931,0.0,0.0,6120.0,0
0.0,4.2931,0.0,0.0,6150.0,0
0.0,4.2931,0.0,0.0,6180.0,0
0.0,4.2934,0.0,0.0,6210.0,0
0.0,4.2931,0.0,0.0,6240.0,0
0.0,4.2934,0.0,0.0,6270.0,0
0.0,4.2934,0.0,0.0,6300.0,0
0.0,4.2931,0.0,0.0,6330.0,0
0.0,4.2931,0.0,0.0,6360.0,0
0.0,4.2934,0.0,0.0,6390.0,0
0.0,4.2934,0.0,0.0,6420.0,0
0.0,4.2934,0.0,0.0,6450.0,0
0.0,4.2931,0.0,0.0,6480.0,0
0.0,4.2934,0.0,0.0,6510.0,0
0.0,4.2934,0.0,0.0,6540.0,0
0.0,4.2934,0.0,0.0,6570.0,0
0.0,4.2934,0.0,0.0,6600.0,0
0.0,4.2934,0.0,0.0,6630.0,0
0.0,4.2934,0.0,0.0,6660.0,0
0.0,4.2934,0.0,0.0,6690.0,0
0.0,4.2934,0.0,0.0,6720.0,0
0.0,4.2934,0.0,0.0,6750.0,0
0.0,4.2934,0.0,0.0,6780.0,0
0.0,4.2934,0.0,0.0,6810.0,0
0.0,4.2934,0.0,0.0,6840.0,0
0.0,4.2934,0.0,0.0,6870.0,0
0.0,4.2934,0.0,0.0,6900.0,0
0.0,4.2934,0.0,0.0,6930.0,0
0.0,4.2934,0.0,0.0,6960.0,0
0.0,4.2934,0.0,0.0,6990.0,0
0.0,4.2934,0.0,0.0,7020.0,0
0.0,4.2934,0.0,0.0,7050.0,0
0.0,4.2931,0.0,0.0,7080.0,0
0.0,4.2934,0.0,0.0,7110.0,0
0.0,4.2934,0.0,0.0,7140.0,0
0.0,4.2931,0.0,0.0,7170.0,0
0.0,4.2934,0.0,0.0,7200.0,0
0.0,4.2934,0.0,0.0,7230.0,0
0.0,4.2934,0.0,0.0,7260.0,0
0.0,4.2934,0.0,0.0,7290.0,0
0.0,4.2934,0.0,0.0,7320.0,0
0.0,4.2934,0.0,0.0,7350.0,0
0.0,4.2934,0.0,0.0,7380.0,0
0.0,4.2934,0.0,0.0,7410.0,0
0.0,4.2934,0.0,0.0,7440.0,0
0.0,4.2934,0.0,0.0,7470.0,0
0.0,4.2934,0.0,0.0,7500.0,0
0.0,4.2934,0.0,0.0,7530.0,0
0.0,4.2934,0.0,0.0,7560.0,0
0.0,4.2931,0.0,0.0,7590.0,0
0.0,4.2934,0.0,0.0,7620.0,0
0.0,4.2934,0.0,0.0,7650.0,0
0.0,4.2931,0.0,0.0,7680.0,0
0.0,4.2931,0.0,0.0,7710.0,0
0.0,4.2934,0.0,0.0,7740.0,0
0.0,4.2934,0.0,0.0,7770.0,0
0.0,4.2934,0.0,0.0,7800.0,0
0.0,4.2934,0.0,0.0,7830.0,0
0.0,4.2934,0.0,0.0,7860.0,0
0.0,4.2934,0.0,0.0,7890.0,0
0.0,4.2934,0.0,0.0,7920.0,0
0.0,4.2931,0.0,0.0,7950.0,0
0.0,4.2931,0.0,0.0,7980.0,0
0.0,4.2934,0.0,0.0,8010.0,0
0.0,4.2934,0.0,0.0,8040.0,0
0.0,4.2934,0.0,0.0,8070.0,0
0.0,4.2931,0.0,0.0,8100.0,0
0.0,4.2931,0.0,0.0,8130.0,0
0.0,4.2934,0.0,0.0,8160.0,0
0.0,4.2934,0.0,0.0,8190.0,0
0.0,4.2931,0.0,0.0,8220.0,0
0.0,4.2934,0.0,0.0,8250.0,0
0.0,4.2934,0.0,0.0,8280.0,0
0.0,4.2934,0.0,0.0,8310.0,0
0.0,4.2931,0.0,0.0,8340.0,0
0.0,4.2934,0.0,0.0,8370.0,0
0.0,4.2934,0.0,0.0,8400.0,0
0.0,4.2931,0.0,0.0,8430.0,0
0.0,4.2931,0.0,0.0,8460.0,0
0.0,4.2931,0.0,0.0,8490.0,0
0.0,4.2934,0.0,0.0,8520.0,0
0.0,4.2931,0.0,0.0,8550.0,0
0.0,4.2931,0.0,0.0,8580.0,0
0.0,4.2931,0.0,0.0,8610.0,0
0.0,4.2934,0.0,0.0,8640.0,0
0.0,4.2934,0.0,0.0,8670.0,0
0.0,4.2934,0.0,0.0,8700.0,0
0.0,4.2934,0.0,0.0,8730.0,0
0.0,4.2931,0.0,0.0,8760.0,0
0.0,4.2931,0.0,0.0,8790.0,0
0.0,4.2934,0.0,0.0,8820.0,0
0.0,4.2934,0.0,0.0,8850.0,0
0.0,4.2934,0.0,0.0,8880.0,0
0.0,4.2934,0.0,0.0,8910.0,0
0.0,4.2931,0.0,0.0,8940.0,0
0.0,4.2934,0.0,0.0,8970.0,0
0.0,4.2934,0.0,0.0,9000.0,0
0.0,4.2934,0.0,0.0,9030.0,0
0.0,4.2931,0.0,0.0,9060.0,0
0.0,4.2934,0.0,0.0,9090.0,0
0.0,4.2934,0.0,0.0,9120.0,0
0.0,4.2931,0.0,0.0,9150.0,0
0.0,4.2931,0.0,0.0,9180.0,0
0.0,4.2931,0.0,0.0,9210.0,0
0.0,4.2931,0.0,0.0,9240.0,0
0.0,4.2931,0.0,0.0,9270.0,0
0.0,4.2934,0.0,0.0,9300.0,0
0.0,4.2934,0.0,0.0,9330.0,0
0.0,4.2931,0.0,0.0,9360.0,0
0.0,4.2934,0.0,0.0,9390.0,0
0.0,4.2934,0.0,0.0,9420.0,0
0.0,4.2934,0.0,0.0,9450.0,0
0.0,4.2934,0.0,0.0,9480.0,0
0.0,4.2934,0.0,0.0,9510.0,0
0.0,4.2934,0.0,0.0,9540.0,0
0.0,4.2934,0.0,0.0,9570.0,0
0.0,4.2934,0.0,0.0,9600.0,0
0.0,4.2934,0.0,0.0,9630.0,0
0.0,4.2934,0.0,0.0,9660.0,0
0.0,4.2934,0.0,0.0,9690.0,0
0.0,4.2934,0.0,0.0,9720.0,0
0.0,4.2934,0.0,0.0,9750.0,0
0.0,4.2934,0.0,0.0,9780.0,0
0.0,4.2934,0.0,0.0,9810.0,0
0.0,4.2934,0.0,0.0,9840.0,0
0.0,4.2931,0.0,0.0,9870.0,0
0.0,4.2934,0.0,0.0,9900.0,0
0.0,4.2934,0.0,0.0,9930.0,0
0.0,4.2934,0.0,0.0,9960.0,0
0.0,4.2934,0.0,0.0,9990.0,0
0.0,4.2934,0.0,0.0,10020.0,0
0.0,4.2934,0.0,0.0,10050.0,0
0.0,4.2934,0.0,0.0,10080.0,0
0.0,4.2934,0.0,0.0,10110.0,0
0.0,4.2934,0.0,0.0,10140.0,0
0.0,4.2934,0.0,0.0,10170.0,0
0.0,4.2934,0.0,0.0,10200.0,0
0.0,4.2934,0.0,0.0,10230.0,0
0.0,4.2934,0.0,0.0,10260.0,0
0.0,4.2934,0.0,0.0,10290.0,0
0.0,4.2934,0.0,0.0,10320.0,0
0.0,4.2934,0.0,0.0,10350.0,0
0.0,4.2934,0.0,0.0,10380.0,0
0.0,4.2934,0.0,0.0,10410.0,0
0.0,4.2934,0.0,0.0,10440.0,0
0.0,4.2934,0.0,0.0,10470.0,0
0.0,4.2934,0.0,0.0,10500.0,0
0.0,4.2934,0.0,0.0,10530.0,0
0.0,4.2934,0.0,0.0,10560.0,0
0.0,4.2934,0.0,0.0,10590.0,0
0.0,4.2934,0.0,0.0,10620.0,0
0.0,4.2934,0.0,0.0,10650.0,0
0.0,4.2934,0.0,0.0,10680.0,0
0.0,4.2934,0.0,0.0,10710.0,0
0.0,4.2934,0.0,0.0,10740.0,0
0.0,4.2934,0.0,0.0,10770.0,0
0.0,4.2934,0.0,0.0,10800.0,0
0.0,4.2934,0.0,0.0,10830.0,0
0.0,4.2934,0.0,0.0,10860.0,0
0.0,4.2934,0.0,0.0,10890.0,0
0.0,4.2934,0.0,0.0,10920.0,0
0.0,4.2934,0.0,0.0,10950.0,0
0.0,4.2934,0.0,0.0,10980.0,0
0.0,4.2934,0.0,0.0,11010.0,0
0.0,4.2934,0.0,0.0,11040.0,0
0.0,4.2934,0.0,0.0,11070.0,0
0.0,4.2934,0.0,0.0,11100.0,0
0.0,4.2934,0.0,0.0,11130.0,0
0.0,4.2934,0.0,0.0,11160.0,0
0.0,4.2934,0.0,0.0,11190.0,0
0.0,4.2931,0.0,0.0,11220.0,0
0.0,4.2934,0.0,0.0,11250.0,0
0.0,4.2934,0.0,0.0,11280.0,0
0.0,4.2934,0.0,0.0,11310.0,0
0.0,4.2931,0.0,0.0,11340.0,0
0.0,4.2934,0.0,0.0,11370.0,0
0.0,4.2934,0.0,0.0,11400.0,0
0.0,4.2934,0.0,0.0,11430.0,0
0.0,4.2934,0.0,0.0,11460.0,0
0.0,4.2934,0.0,0.0,11490.0,0
0.0,4.2931,0.0,0.0,11520.0,0
0.0,4.2934,0.0,0.0,11550.0,0
0.0,4.2934,0.0,0.0,11580.0,0
0.0,4.2934,0.0,0.0,11610.0,0
0.0,4.2931,0.0,0.0,11640.0,0
0.0,4.2934,0.0,0.0,11670.0,0
0.0,4.2934,0.0,0.0,11700.0,0
0.0,4.2934,0.0,0.0,11730.0,0
0.0,4.2934,0.0,0.0,11760.0,0
0.0,4.2934,0.0,0.0,11790.0,0
0.0,4.2934,0.0,0.0,11820.0,0
0.0,4.2934,0.0,0.0,11850.0,0
0.0,4.2934,0.0,0.0,11880.0,0
0.0,4.2931,0.0,0.0,11910.0,0
0.0,4.2934,0.0,0.0,11940.0,0
0.0,4.2934,0.0,0.0,11970.0,0
0.0,4.2931,0.0,0.0,12000.0,0
0.0,4.2934,0.0,0.0,12030.0,0
0.0,4.2934,0.0,0.0,12060.0,0
0.0,4.2934,0.0,0.0,12090.0,0
0.0,4.2934,0.0,0.0,12120.0,0
0.0,4.2934,0.0,0.0,12150.0,0
0.0,4.2934,0.0,0.0,12180.0,0
0.0,4.2934,0.0,0.0,12210.0,0
0.0,4.2934,0.0,0.0,12240.0,0
0.0,4.2934,0.0,0.0,12270.0,0
0.0,4.2934,0.0,0.0,12300.0,0
0.0,4.2934,0.0,0.0,12330.0,0
0.0,4.2934,0.0,0.0,12360.0,0
0.0,4.2934,0.0,0.0,12390.0,0
0.0,4.2934,0.0,0.0,12420.0,0
0.0,4.2934,0.0,0.0,12450.0,0
0.0,4.2931,0.0,0.0,12480.0,0
0.0,4.2934,0.0,0.0,12510.0,0
0.0,4.2931,0.0,0.0,12540.0,0
0.0,4.2934,0.0,0.0,12570.0,0
0.0,4.2934,0.0,0.0,12600.0,0
0.0,4.2931,0.0,0.0,12630.0,0
0.0,4.2931,0.0,0.0,12660.0,0
0.0,4.2934,0.0,0.0,12690.0,0
0.0,4.2931,0.0,0.0,12720.0,0
0.0,4.2934,0.0,0.0,12750.0,0
0.0,4.2934,0.0,0.0,12780.0,0
0.0,4.2934,0.0,0.0,12810.0,0
0.0,4.2934,0.0,0.0,12840.0,0
0.0,4.2931,0.0,0.0,12870.0,0
0.0,4.2934,0.0,0.0,12900.0,0
0.0,4.2931,0.0,0.0,12930.0,0
0.0,4.2934,0.0,0.0,12960.0,0
0.0,4.2934,0.0,0.0,12990.0,0
0.0,4.2931,0.0,0.0,13020.0,0
0.0,4.2931,0.0,0.0,13050.0,0
0.0,4.2931,0.0,0.0,13080.0,0
0.0,4.2934,0.0,0.0,13110.0,0
0.0,4.2931,0.0,0.0,13140.0,0
0.0,4.2931,0.0,0.0,13170.0,0
0.0,4.2934,0.0,0.0,13200.0,0
0.0,4.2931,0.0,0.0,13230.0,0
0.0,4.2931,0.0,0.0,13260.0,0
0.0,4.2931,0.0,0.0,13290.0,0
0.0,4.2931,0.0,0.0,13320.0,0
0.0,4.2931,0.0,0.0,13350.0,0
0.0,4.2931,0.0,0.0,13380.0,0
0.0,4.2931,0.0,0.0,13410.0,0
0.0,4.2931,0.0,0.0,13440.0,0
0.0,4.2931,0.0,0.0,13470.0,0
0.0,4.2934,0.0,0.0,13500.0,0
0.0,4.2931,0.0,0.0,13530.0,0
0.0,4.2931,0.0,0.0,13560.0,0
0.0,4.2931,0.0,0.0,13590.0,0
0.0,4.2931,0.0,0.0,13620.0,0
0.0,4.2931,0.0,0.0,13650.0,0
0.0,4.2934,0.0,0.0,13680.0,0
0.0,4.2931,0.0,0.0,13710.0,0
0.0,4.2934,0.0,0.0,13740.0,0
0.0,4.2931,0.0,0.0,13770.0,0
0.0,4.2931,0.0,0.0,13800.0,0
0.0,4.2931,0.0,0.0,13830.0,0
0.0,4.2931,0.0,0.0,13860.0,0
0.0,4.2934,0.0,0.0,13890.0,0
0.0,4.2931,0.0,0.0,13920.0,0
0.0,4.2931,0.0,0.0,13950.0,0
0.0,4.2931,0.0,0.0,13980.0,0
0.0,4.2931,0.0,0.0,14010.0,0
0.0,4.2931,0.0,0.0,14040.0,0
0.0,4.2931,0.0,0.0,14070.0,0
0.0,4.2931,0.0,0.0,14100.0,0
0.0,4.2931,0.0,0.0,14130.0,0
0.0,4.2931,0.0,0.0,14160.0,0
0.0,4.2931,0.0,0.0,14190.0,0
0.0,4.2931,0.0,0.0,14220.0,0
0.0,4.2931,0.0,0.0,14250.0,0
0.0,4.2931,0.0,0.0,14280.0,0
0.0,4.2931,0.0,0.0,14310.0,0
0.0,4.2931,0.0,0.0,14340.0,0
0.0,4.2934,0.0,0.0,14370.0,0
0.0,4.2934,0.0,0.0,14400.0,0
0.0,4.2931,0.0,0.0,14430.0,0
0.0,4.2931,0.0,0.0,14460.0,0
0.0,4.2931,0.0,0.0,14490.0,0
0.0,4.2934,0.0,0.0,14520.0,0
0.0,4.2934,0.0,0.0,14550.0,0
0.0,4.2931,0.0,0.0,14580.0,0
0.0,4.2931,0.0,0.0,14610.0,0
0.0,4.2931,0.0,0.0,14640.0,0
0.0,4.2934,0.0,0.0,14670.0,0
0.0,4.2931,0.0,0.0,14700.0,0
0.0,4.2931,0.0,0.0,14730.0,0
0.0,4.2934,0.0,0.0,14760.0,0
0.0,4.2934,0.0,0.0,14790.0,0
0.0,4.2934,0.0,0.0,14820.0,0
0.0,4.2934,0.0,0.0,14850.0,0
0.0,4.2934,0.0,0.0,14880.0,0
0.0,4.2934,0.0,0.0,14910.0,0
0.0,4.2934,0.0,0.0,14940.0,0
0.0,4.2934,0.0,0.0,14970.0,0
0.0,4.2934,0.0,0.0,15000.0,0
0.0,4.2934,0.0,0.0,15030.0,0
0.0,4.2934,0.0,0.0,15060.0,0
0.0,4.2934,0.0,0.0,15090.0,0
0.0,4.2934,0.0,0.0,15120.0,0
0.0,4.2934,0.0,0.0,15150.0,0
0.0,4.2934,0.0,0.0,15180.0,0
0.0,4.2934,0.0,0.0,15210.0,0
0.0,4.2934,0.0,0.0,15240.0,0
0.0,4.2934,0.0,0.0,15270.0,0
0.0,4.2934,0.0,0.0,15300.0,0
0.0,4.2934,0.0,0.0,15330.0,0
0.0,4.2934,0.0,0.0,15360.0,0
0.0,4.2934,0.0,0.0,15390.0,0
0.0,4.2934,0.0,0.0,15420.0,0
0.0,4.2934,0.0,0.0,15450.0,0
0.0,4.2934,0.0,0.0,15480.0,0
0.0,4.2934,0.0,0.0,15510.0,0
0.0,4.2934,0.0,0.0,15540.0,0
0.0,4.2934,0.0,0.0,15570.0,0
0.0,4.2934,0.0,0.0,15600.0,0
0.0,4.2934,0.0,0.0,15630.0,0
0.0,4.2934,0.0,0.0,15660.0,0
0.0,4.2934,0.0,0.0,15690.0,0
0.0,4.2934,0.0,0.0,15720.0,0
0.0,4.2934,0.0,0.0,15750.0,0
0.0,4.2934,0.0,0.0,15780.0,0
0.0,4.2934,0.0,0.0,15810.0,0
0.0,4.2934,0.0,0.0,15840.0,0
0.0,4.2934,0.0,0.0,15870.0,0
0.0,4.2934,0.0,0.0,15900.0,0
0.0,4.2934,0.0,0.0,15930.0,0
0.0,4.2934,0.0,0.0,15960.0,0
0.0,4.2934,0.0,0.0,15990.0,0
0.0,4.2934,0.0,0.0,16020.0,0
0.0,4.2934,0.0,0.0,16050.0,0
0.0,4.2934,0.0,0.0,16080.0,0
0.0,4.2934,0.0,0.0,16110.0,0
0.0,4.2934,0.0,0.0,16140.0,0
0.0,4.2934,0.0,0.0,16170.0,0
0.0,4.2934,0.0,0.0,16200.0,0
0.0,4.2934,0.0,0.0,16230.0,0
0.0,4.2934,0.0,0.0,16260.0,0
0.0,4.2934,0.0,0.0,16290.0,0
0.0,4.2934,0.0,0.0,16320.0,0
0.0,4.2934,0.0,0.0,16350.0,0
0.0,4.2934,0.0,0.0,16380.0,0
0.0,4.2934,0.0,0.0,16410.0,0
0.0,4.2934,0.0,0.0,16440.0,0
0.0,4.2934,0.0,0.0,16470.0,0
0.0,4.2934,0.0,0.0,16500.0,0
0.0,4.2934,0.0,0.0,16530.0,0
0.0,4.2934,0.0,0.0,16560.0,0
0.0,4.2934,0.0,0.0,16590.0,0
0.0,4.2934,0.0,0.0,16620.0,0
0.0,4.2934,0.0,0.0,16650.0,0
0.0,4.2934,0.0,0.0,16680.0,0
0.0,4.2934,0.0,0.0,16710.0,0
0.0,4.2934,0.0,0.0,16740.0,0
0.0,4.2934,0.0,0.0,16770.0,0
0.0,4.2934,0.0,0.0,16800.0,0
0.0,4.2934,0.0,0.0,16830.0,0
0.0,4.2934,0.0,0.0,16860.0,0
0.0,4.2934,0.0,0.0,16890.0,0
0.0,4.2934,0.0,0.0,16920.0,0
0.0,4.2934,0.0,0.0,16950.0,0
0.0,4.2934,0.0,0.0,16980.0,0
0.0,4.2934,0.0,0.0,17010.0,0
0.0,4.2934,0.0,0.0,17040.0,0
0.0,4.2934,0.0,0.0,17070.0,0
0.0,4.2934,0.0,0.0,17100.0,0
0.0,4.2934,0.0,0.0,17130.0,0
0.0,4.2934,0.0,0.0,17160.0,0
0.0,4.2934,0.0,0.0,17190.0,0
0.0,4.2934,0.0,0.0,17220.0,0
0.0,4.2934,0.0,0.0,17250.0,0
0.0,4.2934,0.0,0.0,17280.0,0
0.0,4.2934,0.0,0.0,17310.0,0
0.0,4.2934,0.0,0.0,17340.0,0
0.0,4.2934,0.0,0.0,17370.0,0
